grupo,programa,periodo,semestre,modalidad,sede,peama,sede_oferta,programa_original_crudo,puntaje,cupos,fuente,ord
Bogotá,Artes Plásticas,2024-2,II,Regular,Bogotá,,,Artes Plásticas,564.9876,35,24-2_regulares_y_MBP_BOGOTA.pdf,4049
Bogotá,Artes Plásticas,2025-2,II,Regular,Bogotá,,,Artes Plásticas,575.6452,33,regulares_y_MBP_BOGOTA.pdf,4051
Bogotá,Artes Plásticas,2026-1,I,Regular,Bogotá,,,Artes Plásticas,584.7424,33,26-1_regulares_y_MBP_BOGOTA.pdf,4052
Bogotá,Biología,2007-1,I,Regular,Bogotá,,,Biología,605.0,68,base_bogota_corregida,4014
Bogotá,Biología,2007-2,II,Regular,Bogotá,,,Biología,622.0,66,base_bogota_corregida,4015
Bogotá,Biología,2008-1,I,Regular,Bogotá,,,Biología,643.0,63,base_bogota_corregida,4016
Bogotá,Biología,2008-2,II,Regular,Bogotá,,,Biología,628.0565,57,base_bogota_corregida,4017
Bogotá,Biología,2009-1,I,Regular,Bogotá,,,Biología,653.23,57,base_bogota_corregida,4018
Bogotá,Biología,2009-2,II,Regular,Bogotá,,,Biología,625.3191,68,base_bogota_corregida,4019
Bogotá,Biología,2010-1,I,Regular,Bogotá,,,Biología,641.7002,70,base_bogota_corregida,4020
Bogotá,Biología,2010-2,II,Regular,Bogotá,,,Biología,622.8492,70,base_bogota_corregida,4021
Bogotá,Biología,2011-1,I,Regular,Bogotá,,,Biología,660.5111,70,base_bogota_corregida,4022
Bogotá,Biología,2011-2,II,Regular,Bogotá,,,Biología,628.3342,69,base_bogota_corregida,4023
Bogotá,Biología,2012-1,I,Regular,Bogotá,,,Biología,665.0018,80,base_bogota_corregida,4024
Bogotá,Biología,2012-2,II,Regular,Bogotá,,,Biología,643.9891,78,base_bogota_corregida,4025
Bogotá,Biología,2013-1,I,Regular,Bogotá,,,Biología,673.9515,56,base_bogota_corregida,4026
Bogotá,Biología,2013-2,II,Regular,Bogotá,,,Biología,667.6719,48,base_bogota_corregida,4027
Bogotá,Biología,2014-1,I,Regular,Bogotá,,,Biología,698.1085,53,base_bogota_corregida,4028
Bogotá,Biología,2014-2,II,Regular,Bogotá,,,Biología,661.2685,58,base_bogota_corregida,4029
Bogotá,Biología,2015-1,I,Regular,Bogotá,,,Biología,686.4774,57,base_bogota_corregida,4030
Bogotá,Biología,2015-2,II,Regular,Bogotá,,,Biología,670.592,58,base_bogota_corregida,4031
Bogotá,Biología,2016-1,I,Regular,Bogotá,,,Biología,684.4595,58,base_bogota_corregida,4032
Bogotá,Biología,2016-2,II,Regular,Bogotá,,,Biología,666.0359,63,base_bogota_corregida,4033
Bogotá,Biología,2017-1,I,Regular,Bogotá,,,Biología,693.2767,63,base_bogota_corregida,4034
Bogotá,Biología,2017-2,II,Regular,Bogotá,,,Biología,666.21,60,base_bogota_corregida,4035
Bogotá,Biología,2018-1,I,Regular,Bogotá,,,Biología,687.8025,70,base_bogota_corregida,4036
Bogotá,Biología,2018-2,II,Regular,Bogotá,,,Biología,695.3017,30,base_bogota_corregida,4037
Bogotá,Biología,2019-1,I,Regular,Bogotá,,,Biología,728.266,30,base_bogota_corregida,4038
Bogotá,Biología,2019-2,II,Regular,Bogotá,,,Biología,695.192,27,base_bogota_corregida,4039
Bogotá,Biología,2020-1,I,Regular,Bogotá,,,Biologia,699.9824,48,201_regulares_y_MBP_Bogota.pdf,4040
Bogotá,Biología,2020-2,II,Regular,Bogotá,,,Biología,639.7632,49,base_bogota_corregida,4041
Bogotá,Biología,2021-1,I,Regular,Bogotá,,,Biologia,679.6131,32,211_regulares_y_MBP_BOGOTA.pdf,4042
Bogotá,Biología,2021-2,II,Regular,Bogotá,,,Biologia,617.4011,32,212_regulares_y_MBP-Bogota.pdf,4043
Bogotá,Biología,2022-1,I,Regular,Bogotá,,,Biologia,648.4059,44,22-1_regulares_y_MBP_BOGOTA.pdf,4044
Bogotá,Biología,2022-2,II,Regular,Bogotá,,,Biologia,620.1958,45,22-2_regulares_y_MBP_BOGOTA.pdf,4045
Bogotá,Biología,2023-1,I,Regular,Bogotá,,,Biologia,690.1503,44,23-1_regulares_y_MBP_BOGOTA.pdf,4046
Bogotá,Biología,2023-2,II,Regular,Bogotá,,,Biologia,632.7677,44,23-2_regulares_y_MBP_BOGOTA.pdf,4047
Bogotá,Biología,2024-1,I,Regular,Bogotá,,,Biologia,672.2271,40,24-1_regulares_y_MBP_BOGOTA.pdf,4048
Bogotá,Biología,2024-2,II,Regular,Bogotá,,,Biologia,629.3765,43,24-2_regulares_y_MBP_BOGOTA.pdf,4049
Bogotá,Biología,2025-1,I,Regular,Bogotá,,,Biologia,652.7822,41,2025-1_regulares_y_MBP_BOGOTA.pdf,4050
Bogotá,Biología,2025-2,II,Regular,Bogotá,,,Biologia,628.9331,42,regulares_y_MBP_BOGOTA.pdf,4051
Bogotá,Biología,2026-1,I,Regular,Bogotá,,,Biologia,651.9287,44,26-1_regulares_y_MBP_BOGOTA.pdf,4052
Bogotá,Ciencia Política,2007-1,I,Regular,Bogotá,,,Ciencia Política,683.0,82,base_bogota_corregida,4014
Bogotá,Ciencia Política,2007-2,II,Regular,Bogotá,,,Ciencia Política,626.0,82,base_bogota_corregida,4015
Bogotá,Ciencia Política,2008-1,I,Regular,Bogotá,,,Ciencia Política,675.0,84,base_bogota_corregida,4016
Bogotá,Ciencia Política,2008-2,II,Regular,Bogotá,,,Ciencia Política,607.9941,84,base_bogota_corregida,4017
Bogotá,Ciencia Política,2009-1,I,Regular,Bogotá,,,Ciencia Política,639.67,84,base_bogota_corregida,4018
Bogotá,Ciencia Política,2009-2,II,Regular,Bogotá,,,Ciencia Política,605.8724,83,base_bogota_corregida,4019
Bogotá,Ciencia Política,2010-1,I,Regular,Bogotá,,,Ciencia Política,631.9129,83,base_bogota_corregida,4020
Bogotá,Ciencia Política,2010-2,II,Regular,Bogotá,,,Ciencia Política,598.0356,83,base_bogota_corregida,4021
Bogotá,Ciencia Política,2011-1,I,Regular,Bogotá,,,Ciencia Política,636.122,83,base_bogota_corregida,4022
Bogotá,Ciencia Política,2011-2,II,Regular,Bogotá,,,Ciencia Política,622.1194,70,base_bogota_corregida,4023
Bogotá,Ciencia Política,2012-1,I,Regular,Bogotá,,,Ciencia Política,639.8104,81,base_bogota_corregida,4024
Bogotá,Ciencia Política,2012-2,II,Regular,Bogotá,,,Ciencia Política,609.9249,82,base_bogota_corregida,4025
Bogotá,Ciencia Política,2013-1,I,Regular,Bogotá,,,Ciencia Política,623.1993,82,base_bogota_corregida,4026
Bogotá,Ciencia Política,2013-2,II,Regular,Bogotá,,,Ciencia Política,635.4665,69,base_bogota_corregida,4027
